Course,Provider,Type,Rating,Enrollment,Difficulty
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,1.2m,Beginner
Python 3 Programming,University of Michigan,SPECIALIZATION,4.7,83k,Beginner
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,400k,Beginner
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,49k,Beginner
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,420k,Intermediate
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,1.1m,Mixed
Python for Data Science and AI,IBM,COURSE,4.6,140k,Beginner
Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,73k,Beginner
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.5,93k,Beginner
Python Basics,University of Michigan,COURSE,4.8,70k,Beginner
Python Programming: A Concise Introduction,Wesleyan University,COURSE,4.6,91k,Beginner
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.6,49k,Intermediate
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,160k,Beginner
Crash Course on Python,Google,COURSE,4.7,44k,Beginner
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,600k,Intermediate
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,330k,Intermediate
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,110k,Beginner
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,26k,Beginner
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,40k,Beginner
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.3,5.3k,Beginner
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.7,110k,Intermediate
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,190k,Beginner
Machine Learning for Analytics MasterTrack™ Certificate,University of Chicago,MASTERTRACK™ CERTIFICATE,None,None,None
Master of Computer Science,Arizona State University,DEGREE,None,None,None
Master of Data Science,HSE University,DEGREE,None,None,None
Machine Learning with Python,IBM,COURSE,4.7,99k,Intermediate
Python Classes and Inheritance,University of Michigan,COURSE,4.7,15k,Intermediate
Python Data Products for Predictive Analytics,University of California San Diego,SPECIALIZATION,4.2,7.5k,Intermediate
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,27k,Beginner
Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,74k,Intermediate
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.8,12k,Intermediate
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.3,54k,Advanced
Data Analysis with Python,IBM,COURSE,4.7,87k,Beginner
Погружение в Python,ФРОО,COURSE,4.7,42k,Intermediate
Machine Learning,Stanford University,COURSE,4.9,3m,Mixed
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,180k,Beginner
Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,64k,Beginner
An Introduction to Interactive Programming in Python (Part 1),Rice University,COURSE,4.8,150k,Mixed
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,9.4k,Beginner
Python Data Structures,University of Michigan,COURSE,4.9,350k,Mixed
Python Programming Essentials,Rice University,COURSE,4.8,30k,Beginner
用Python玩转数据 Data Processing Using Python,Nanjing University,COURSE,4.6,69k,Mixed
Introducción a la programación con Python,Universidad Austral,COURSE,4.2,4k,Beginner
Using Python to Access Web Data,University of Michigan,COURSE,4.8,270k,Mixed
Introdução à Ciência da Computação com Python Parte 2,Universidade de São Paulo,COURSE,4.9,13k,Beginner
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,14k,Intermediate
Machine Learning,University of Washington,SPECIALIZATION,4.6,270k,Intermediate
Principles of Computing (Part 1),Rice University,COURSE,4.8,23k,Intermediate
Создание Web-сервисов на Python,ФРОО,COURSE,4.3,7.4k,Intermediate
Master of Science in Data Science,University of Colorado Boulder,DEGREE,None,None,None
Using Databases with Python,University of Michigan,COURSE,4.8,200k,Mixed
Data Visualization with Python,IBM,COURSE,4.6,53k,Intermediate
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,22k,Beginner
Using Python to Interact with the Operating System,Google,COURSE,4.7,10k,Beginner
Foundations of Data Science: K-Means Clustering in Python,University of London,COURSE,4.7,4.4k,Beginner
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.5,88k,Intermediate
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,18k,Beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,65k,Mixed
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.9,7.8k,Mixed
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,140k,Intermediate
Inferential Statistical Analysis with Python,University of Michigan,COURSE,4.5,9.4k,Intermediate
Applied Text Mining in Python,University of Michigan,COURSE,4.2,70k,Intermediate
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,COURSE,None,None,None
Python for Genomic Data Science,Johns Hopkins University,COURSE,4.3,27k,Mixed
"Python Project: pillow, tesseract, and opencv",University of Michigan,COURSE,4.2,10k,Intermediate
Machine Learning for Accounting with Python,University of Illinois at Urbana-Champaign,COURSE,None,None,None
Fitting Statistical Models to Data with Python,University of Michigan,COURSE,4.5,7.7k,Intermediate
Applied Social Network Analysis in Python,University of Michigan,COURSE,4.7,40k,Intermediate
Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.7,2.7k,Intermediate
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,4.9k,Intermediate
Python Data Representations,Rice University,COURSE,4.8,9k,Beginner
"Problem Solving, Python Programming, and Video Games",University of Alberta,COURSE,4.3,7.4k,Beginner
Python and Machine Learning for Asset Management,EDHEC Business School,COURSE,3.2,2.5k,Intermediate
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,"University of California, Irvine",COURSE,4.6,72k,Mixed
ООП и паттерны проектирования в Python,ФРОО,COURSE,3.8,7.2k,Intermediate
用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),National Taiwan University,COURSE,4.9,9.8k,Beginner
Python and Machine-Learning for Asset Management with Alternative Data Sets,EDHEC Business School,COURSE,4.6,1.6k,Intermediate
Automating Real-World Tasks with Python,Google,COURSE,None,None,None
An Introduction to Interactive Programming in Python (Part 2),Rice University,COURSE,4.9,34k,Beginner
Python Data Analysis,Rice University,COURSE,4.7,13k,Beginner
Python для анализа данных,ФРОО,COURSE,4.5,5.5k,Intermediate
Data Processing Using Python,Nanjing University,COURSE,4.3,22k,Beginner
Python Data Visualization,Rice University,COURSE,4.8,7.8k,Beginner
Global Warming II: Create Your Own Models in Python,The University of Chicago,COURSE,4.2,7.6k,Mixed
Project: Computer Vision - Image Basics with OpenCV and Python,Rhyme,NEW,None,None,None
Estructuras de datos en Python,Universidad Austral,COURSE,None,None,None
Project: Linear Regression with NumPy and Python,Rhyme,NEW,None,None,None
Manejo de bases de datos con Python,Universidad Austral,COURSE,None,None,None
Project: Logistic Regression with Python and Numpy,Rhyme,NEW,None,None,None
Project: Analyze Box Office Data with Seaborn and Python,Rhyme,NEW,None,None,None
Project: Language Classification with Naive Bayes in Python,Rhyme,NEW,None,None,None
"Project: Classification Trees in Python, From Start To Finish",Rhyme,NEW,None,None,None
Programación Orientada a Objetos con Python,Universidad Austral,COURSE,None,None,None
Project: Computer Vision - Object Detection with OpenCV and Python,Rhyme,NEW,None,None,None
用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),National Taiwan University,COURSE,4.5,3.5k,Intermediate
用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)),National Taiwan University,COURSE,4.9,2.6k,Mixed
Project: Logistic Regression with NumPy and Python,Rhyme,NEW,None,None,None
Using SAS Viya REST APIs with Python and R,SAS,COURSE,None,None,None
